raceId,topTenDiversity
421,6
422,5
423,6
424,9
425,7
426,6
427,7
428,6
429,6
430,7
431,6
432,6
433,6
434,7
435,7
436,7
437,6
438,7
439,6
440,7
441,7
442,6
443,6
444,6
445,7
446,6
447,6
448,6
449,6
450,6
451,6
452,6
453,6
454,7
455,6
456,6
457,7
458,6
459,6
460,6
461,5
462,6
463,6
464,6
465,7
466,6
467,7
468,7
469,7
470,7
471,6
472,7
473,7
474,6
475,7
476,6
477,6
478,8
479,7
480,6
481,6
482,9
483,7
484,7
485,9
486,7
487,6
488,7
489,6
490,7
491,5
492,6
493,6
494,6
495,5
496,6
497,6
498,6
499,6
500,6
501,5
502,7
503,5
504,6
505,6
506,6
507,6
508,6
509,6
510,7
511,7
512,6
513,6
514,6
515,5
516,6
517,6
518,6
519,7
520,6
521,6
522,6
523,5
524,5
525,6
526,6
527,6
528,6
529,6
530,6
531,6
532,7
533,6
534,6
535,5
536,6
537,6
538,6
539,6
540,7
541,6
542,6
543,6
544,7
545,6
546,6
547,6
548,6
549,7
550,6
551,6
552,7
553,6
554,7
555,6
556,6
557,7
558,8
559,7
560,8
561,7
562,8
563,6
564,6
565,6
566,7
567,5
568,5
569,6
570,5
571,6
572,5
573,5
574,6
575,7
576,6
577,6
578,6
579,7
580,6
581,6
582,7
583,6
584,6
585,6
586,7
587,6
588,7
589,5
590,6
591,5
592,5
593,5
594,5
595,5
596,5
597,6
598,6
599,7
600,7
601,6
602,7
603,6
604,7
605,6
606,6
607,5
608,6
609,6
610,5
611,6
612,6
613,7
614,6
615,6
616,6
617,5
618,5
619,7
620,7
621,6
622,5
623,6
624,9
625,5
626,5
627,6
628,7
629,5
630,5
631,6
632,5
633,6
634,7
635,8
636,7
637,8
638,7
639,7
640,6
641,6
642,5
643,6
644,7
645,7
646,7
647,7
648,7
649,7
650,7
651,6
652,7
653,7
654,6
655,6
656,7
657,7
658,7
659,6
660,7
661,6
662,6
663,7
664,6
665,5
666,5
667,6
668,6
669,6
670,7
671,6
672,5
673,6
674,5
675,6
676,6
677,7
678,6
679,6
680,6
681,6
682,7
683,6
684,6
685,6
686,6
687,5
688,7
689,6
690,7
691,6
692,7
693,6
694,6
695,6
696,7
697,6
698,6
699,7
700,6
701,7
702,7
703,8
704,6
705,6
706,5
707,6
708,7
709,5
710,6
711,6
712,5
713,7
714,6
715,7
716,6
717,6
718,7
719,6
720,6
721,6
722,7
723,5
724,7
725,6
726,6
727,6
728,5
729,7
730,8
731,7
732,7
733,6
734,6
735,6
736,7
737,7
738,5
739,6
740,7
741,6
742,6
743,7
744,5
745,6
746,6
747,7
748,7
749,7
750,7
751,7
752,7
753,7
754,6
755,6
756,6
757,6
758,6
759,6
760,6
761,6
762,6
763,7
764,7
765,5
766,6
767,6
768,6
769,7
770,6
771,7
772,6
773,7
774,7
775,6
776,6
777,5
778,6
779,6
780,6
781,7
782,7
783,7
784,6
785,6
786,8
787,6
788,7
789,6
790,6
791,7
792,7
793,6
794,6
795,7
796,6
797,6
798,6
799,8
800,6
801,6
802,6
803,6
804,6
805,7
806,8
807,7
808,7
809,6
810,7
811,6
812,6
813,7
814,7
815,7
816,6
817,7
818,8
819,9
820,7
821,6
822,7
823,6
824,6
825,6
826,7
827,6
828,6
829,5
830,7
831,6
832,7
833,6
834,6
835,7
836,6
837,6
838,6
839,6
840,7
841,6
842,7
843,5
844,6
845,6
846,5
847,6
848,7
849,6
850,6
851,7
852,5
853,5
854,6
855,6
856,6
857,5
858,6
859,7
860,6
861,6
862,8
863,7
864,6
865,6
866,7
867,7
868,7
869,6
870,7
871,7
872,7
873,5
874,6
875,7
876,7
877,7
878,6
879,6
880,6
881,7
882,6
883,6
884,7
885,8
886,7
887,7
888,6
889,6
890,6
891,7
892,6
893,6
894,6
895,7
896,8
897,6
898,7
899,6
900,6
901,7
902,7
903,6
904,6
905,7
906,5
907,7
908,7
909,5
910,6
911,6
912,5
913,6
914,7
915,5
916,5
917,7
918,7
919,6
920,7
921,5
922,7
923,6
924,7
925,6
926,6
927,7
928,5
929,6
930,7
931,7
932,7
933,6
934,6
935,6
936,6
937,7
938,6
939,6
940,7
941,7
942,6
943,6
944,7
945,7
946,7
947,5
948,6
949,6
950,7
951,6
952,5
953,6
954,6
955,6
956,6
957,7
958,7
959,6
960,6
961,6
962,7
963,6
964,5
965,6
966,7
967,6
968,6
969,6
970,6
971,6
972,6
973,7
974,6
975,7
976,6
977,6
978,7
979,6
980,6
981,6
982,7
983,5
984,6
985,5
986,6
987,7
988,6
989,6
990,8
991,6
992,5
993,7
994,7
995,5
996,6
997,7
998,7
999,7
1000,5
1001,7
1002,6
1003,7
1004,6
1005,6
1006,6
1007,6
1008,8
1009,6
1010,7
1011,7
1012,6
1013,6
1014,6
1015,5
1016,6
1017,7
1018,6
1019,6
1020,6
1021,6
1022,6
1023,7
1024,6
1025,5
1026,6
1027,6
1028,7
1029,6
1030,7
1031,6
1032,5
1033,6
1034,7
1035,6
1036,7
1037,7
1038,7
1039,5
1040,7
1041,6
1042,6
1043,8
1044,7
1045,6
1046,7
1047,8
1048,7
1049,7
1050,7
1051,7
1052,5
1053,7
1054,7
1055,7
1056,7
1057,6
1058,7
1059,7
1060,5
1061,6
1062,7
1063,6
1064,6
1065,6
1066,7
1067,7
1068,6
1069,6
1070,6
1071,7
1072,7
1073,8
1074,7
1075,6
1076,7
1077,6
1078,7
1079,6
1080,6
1081,7
1082,7
1083,6
1084,7
1085,7
1086,7
1087,8
1088,8
1089,7
1090,7
1091,5
1092,6
1093,6
1094,7
1095,6
1096,7
1097,5
1098,6
1099,5
1100,8
1101,8
1102,6
1103,6
1104,6
1105,6
1106,7
1107,6
1108,6
1109,7
1110,6
1111,6
1112,6
1113,7
1114,6
1115,7
1116,6
1117,6
1118,7
1119,7
1120,7
1121,7
1122,7
1123,7
1124,6
1125,8
